,JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,Result,Control,Discipline,Comment
2293,S10330,1977-042F,Kosmos-913 SS 4,1977 May 30,1977 Sep  6,1977 Sep  6,1977 Sep  6,,ESO,,,,D,CAL,,,,,,,U,,,
2294,S10331,1977-042G,Kosmos-913 SS 5,1977 May 30,1977 Sep  6,1977 Sep  6,1977 Sep  6,,ESO,,,,D,CAL,,,,,,,U,,,
2295,S10332,1977-042H,Kosmos-913 SS 6,1977 May 30,1977 Sep  6,1977 Sep  6,1977 Sep  6,,ESO,,,,D,CAL,,,,,,,U,,,
2296,S10333,1977-042J,Kosmos-913 SS 7,1977 May 30,1977 Sep  6,1977 Sep  6,1977 Sep  6,,ESO,,,,D,CAL,,,,,,,U,,,
2297,S10334,1977-042K,Kosmos-913 SS 8,1977 May 30,1977 Sep  6,1977 Sep  6,1977 Sep  6,,ESO,,,,D,CAL,,,,,,,U,,,
2298,S10335,1977-042L,Kosmos-913 SS 9,1977 May 30,1977 Sep  6,1977 Sep  6,1977 Sep  6,,ESO,,,,D,CAL,,,,,,,U,,,
2299,S10336,1977-042M,Kosmos-913 SS 10,1977 May 30,1977 Sep  6,1977 Sep  6,1977 Sep  6,,ESO,,,,D,CAL,,,,,,,U,,,
2300,S10337,1977-042N,Kosmos-913 SS 11,1977 May 30,1977 Sep  6,1977 Sep  6,1977 Sep  6,,ESO,,,,D,CAL,,,,,,,U,,,
2301,S10349,1977-042P,Kosmos-913 SS 12,1977 May 30,1977 Sep  6,1977 Sep  6,1977 Sep  6,,ESO,,,,D,CAL,,,,,,,U,,,
2302,S10350,1977-042Q,Kosmos-913 SS 13,1977 May 30,1977 Sep  6,1977 Sep  6,1977 Sep  6,,ESO,,,,D,CAL,,,,,,,U,,,
2303,S10351,1977-086A,Cosmos-950,1977 Sep 13,1977 Sep 27,1977 Sep 27,1977 Sep 27 0638?,,Zenit-2M,,,D,D,IMG,SU,A/AC.105/INF.367,,213,305,62.8,U,,,
2304,S10352,1977-087A,Cosmos-951,1977 Sep 13,1979 Mar 21,1979 Mar 21,1979 Mar 21?,,Parus,,,,D,NAV,SU,A/AC.105/INF.367,,989,1029,83.0,U,,,
2305,S10358,1977-088A,Cosmos-952,1977 Sep 16,1977 Oct  8,1977 Oct  8,1977 Oct  8,,US-A,,,M,D,SIG,SU,A/AC.105/INF.367,,258,278,65.0,U,,,
2306,S10359,1977-089A,Cosmos-953,1977 Sep 16,1977 Sep 29,1977 Sep 29,1977 Sep 29 0612?,,Zenit-4MKM,,,M,D,IMG,SU,A/AC.105/INF.367,,188,354,62.8,U,,,
2307,S10361,1977-090A,Cosmos-954,1977 Sep 18,1978 Jan 24,1978 Jan 24,1978 Jan 24,,US-A,,,M,D,SIG,SU,A/AC.105/INF.368,,259,277,65.0,U,,,
2308,S10362,1977-091A,Cosmos-955,1977 Sep 20,1979?,1979?,1979?,,Tselina-D,,,,D,SIG,SU,A/AC.105/INF.368,,631,664,81.2,U,,,
2309,S10365,1977-092A,Ekran,1977 Sep 20,1978 Jun 23,1978 Jun 23,1978 Jun 23,,Ekran,,,M,C,COM,SU,A/AC.105/INF.368,,35560,35560,0.4,U,,,
2310,S10370,1977-093A,Prognoz-6,1977 Sep 22,1978 Jan 26,1978 Jan 26,1978 Jan 26,,SO-M,,,,C,AST,SU,A/AC.105/INF.368,,498,197900,65.0,U,,UVA/GRB/P*,"ISM LyA+He, Solar X, GRBs"
2311,S10374,1977-094A,,1977 Sep 23,1977 Dec  8,1977 Dec  8,1977 Dec  8,,KH8E,,,M,D,IMG,US,ST/SG/SER.E/006,89.1,134,335,96.5,U,,,
2312,S10375,1977-095A,Cosmos-956,1977 Sep 24,1977 Sep 24,1977 Sep 24,1977 Sep 24,,Okean-E,,,,D,TECH,SU,A/AC.105/INF.368,,358,865,75.8,U,,,
2313,S10376,1977-096A,Intercosmos-17,1977 Sep 24,1979?,1979?,1979?,,AUOS,,,,C,SCI,SU,A/AC.105/INF.368,,468,519,83.0,U,IKI,P/F*,"Cosmic rays, electric field"
2314,S10382,1977-097A,Salyut-6,1977 Sep 29,1981 Jul 29,1981 Jul 29,1981 Jul 29,,DOS,,,M,C,SS,SU,A/AC.105/INF.368,,219,275,51.6,U,,ATM,IR atm. tel
