,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
1554,A05912,NNA E,1997-014,CP E,Orlan M-4,Orlan-M No. 4,1997 Apr  6,S20335,1997 Apr 29 1009,Earth,1997 Sep  6 0107,TFR E,S20335,MOM,SU,ZVEZ,Orlan-M,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1997 Apr 29,383,,395,,51.65,,LLEO/I,,
1555,A05911,NNA E,1997-014,CP E,Orlan M-5,Orlan-M No. 5,1997 Apr  6,S20335,1997 Apr 29 1009,Earth,1997 Sep  6 0107,TFR E,S20335,MOM,SU,ZVEZ,Orlan-M,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1997 Apr 29,383,,395,,51.65,,LLEO/I,,
1556,S22694,22694,1993-039A,P,Galaxy 4H,Galaxy IVH,1993 Jun 25,A05349,1997 May 16,Earth,1999 Aug?,N,,PAN,US,HSES,HS-601,R-4D-11,2988,,1323,,2988,,4.0,,3.0,,26.5,,Box + 2 Pan,1993 Oct 21,35531,,35784,,0.33,,GEO/D,,
1557,S23877,23877,1996-033A,P,Galaxy 9,Galaxy 9,1996 May 24,S23879,1997 May 16,Earth,2006 Jul  3,N,,PAN,US,HSES,HS-376,TE-M-700-18,770,,600,,1400,,7.8,,2.2,,7.8,,Cyl,1996 Jun 23,35777,,35794,,0.04,,GEO/S,,
1558,S15235,15235,1984-093B,P ---S-,SBS 4,SBS D,1984 Aug 30,S15245,1997 May 16,Earth,2000 Apr,N,,PAN,US,HSES,HS-376,TE-M-700-5,634,,485,,1142,,6.6,,2.2,,6.6,,Cyl,1984 Sep 29,35784,,35788,,0.50,,GEO/S,,
1559,S20872,20872,1990-091A,P,SBS 6,SBS 6,1990 Oct 12,S20875,1997 May 16,Earth,2006 Jul  3,N,,PAN,US,HSES,HS-393,R-4D-12 x2,2478,,1138,,2478,,10.0,,3.6,,10.0,,Cyl,1990 Dec  3,35777,,35796,,0.05,,GEO/S,,
1560,S20410,20410,1990-002B,P ---S-,Leasat 5,Syncom IV-5,1990 Jan  9,A04775,1997 May 16?,Earth,2006 Jul  3,N,,PAN,US,HSES,HS-381,R-4D-10 x2,3231,,1230,,3231,,4.0,,4.3,,6.2,,Cyl + Ant,1990 Feb 12,35264,,36305,,3.36,,GEO/I,,
1561,S21906,21906,1992-013A,P,Galaxy 5,Galaxy V,1992 Mar 14,S21907,1997 May 16,Earth,,O,,PAN,US,HSES,HS-376,TE-M-700-18,782,,600,,1412,,7.0,,2.2,,7.0,,Cyl,1992 Apr 13,35693,,35807,,0.13,,GEO/D,,
1562,S20873,20873,1990-091B,P,Galaxy 6,Westar 6S,1990 Oct 12,S20874,1997 May 16,Earth,,O,,PAN,US,HSES,HS-376,TE-M-700-17,669,,475,,1212,,6.6,,2.2,,6.6,,Cyl,1990 Nov 14,35781,,35792,,0.07,,GEO/S,,Galaxy VI
1563,S22205,22205,1992-072A,P,Galaxy 7,Galaxy VII,1992 Oct 28,S22206,1997 May 16,Earth,,O,,PAN,US,HSES,HS-601,R-4D-11,2968,,1303,,2968,,4.0,,2.8,,26.5,,Box + 2 Pan,1992 Nov 28,35782,,35790,,0.10,,GEO/S,,
1564,S23016,23016,1994-013A,P,Galaxy 1R,Galaxy 1RR,1994 Feb 19,S23018,1997 May 16,Earth,,O,,PAN,US,HSES,HS-376,Star 30C,763,,600,,1393,,7.0,,2.2,,7.0,,Cyl,1994 Mar 24,35774,,35796,,0.05,,GEO/S,,
1565,S19484,19484,1988-081B,P,SBS 5,SBS 5,1988 Sep  8,S19485,1997 May 16,Earth,,O,,PAN,US,HSES,HS-376,TE-M-700-17,703,,550,,1246,,6.6,,2.2,,6.6,,Cyl,1988 Oct  9,35785,,35787,,0.04,,GEO/S,,
1566,S24804,24804,1997-023A,PH H-S,Atlantis (STS-84),OV-104,1997 May 15,A05709,1997 May 17 0233:20,Earth,1997 May 22 0103:56,UDK,,JSC,US,BNAP,STS OV,,100862,,90202,,109691,,37.3,,23.8,,37.3,,Box + 2 Wing + Fin,1997 May 17,382,,396,,51.65,,LLEO/I,,
1567,A05922,NNA I,1997-023,C IH-S,STS-84 Mir Up Cargo,,1997 May 15,A04258,1997 May 17 0425,Earth,2001 Mar 23 0555,AR IN,,JSC,US,,,,2205,,2205,,0,,0.0,,0.0,,0.0,,Irr,1997 May 20,384,,394,,51.65,,LLEO/I,,
1568,A05925,NNA I,1997-023,CCIH-S,STS-84 Mir Down Cargo,,1997 May 15,A05921,1997 May 21 1240,Earth,1997 May 24 1327,AL IN,,JSC,US,,,,1159,,1159,,0,,0.0,,0.0,,0.0,,Irr,1997 May 20,384,,394,,51.65,,LLEO/I,,
