,JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,Result,Control,Discipline,Comment
377,A01502,1968-118,LTA-B,1968 Dec 21,1968 Dec 21,1968 Dec 21,1968 Dec 21,,LTA,,,,C,TECH,,,,,,,U,,,
378,A01508,1968-112,SRV 752,1968 Dec 12,1968 Dec 23,1968 Dec 23,1968 Dec 23,D,SRV,,,D,D,RV,,,,,,,U,,,
379,A01523,1969-007,SRV-1,1969 Jan 22,1969 Feb  3,1969 Feb  3,1969 Feb  3,D,SRV,,,D,D,RV,,,,,,,U,,,
380,A01534,1969-010,SRV 801R,1969 Feb  5,1969 Feb 10,1969 Feb 10,1969 Feb 10,D,SRV,,,D,D,RV,,,,,,,U,,,
381,A01537,1969-010,SRV 802R,1969 Feb  5,1969 Feb 14,1969 Feb 14,1969 Feb 14,D,SRV,,,D,D,RV,,,,,,,U,,,
382,A01555,1969-019,SRV-1,1969 Mar  4,1969 Mar 18,1969 Mar 18,1969 Mar 18,D,SRV,,,D,D,RV,,,,,,,U,,,
383,A01562,1969-026,SRV 737,1969 Mar 19,1969 Mar 22,1969 Mar 22,1969 Mar 22,D,SRV,,,D,D,RV,,,,,,,U,,,
384,A01566,1969-026,SRV 738,1969 Mar 19,1969 Mar 23,1969 Mar 23,1969 Mar 23,D,SRV,,,D,D,RV,,,,,,,U,,,
385,A01575,1969-039,SRV-1,1969 Apr 15,1969 Apr 30,1969 Apr 30,1969 Apr 30,D,SRV,,,D,D,RV,,,,,,,U,,,
386,A01581,1969-041,SRV 739,1969 May  2,1969 May  9,1969 May  9,1969 May  9,D,SRV,,,D,D,RV,,,,,,,U,,,
387,A01582,1969-001,SA,1969 Jan  5,1969 May 16,1969 May 16,1969 May 16,,4V-1A SA,,,,C,RV,,,,,,,U,,PL,Venus lander capsule
388,A01583,1969-002,SA,1969 Jan 10,1969 May 17,1969 May 17,1969 May 17,,4V-1A SA,,,,C,RV,,,,,,,U,,PL,Venus lander capsule
389,A01585,1969-041,SRV 740,1969 May  2,1969 May 18,1969 May 18,1969 May 18,D,SRV,,,D,D,RV,,,,,,,U,,,
390,A01607,1969-050,SRV-1,1969 Jun  3,1969 Jun 14,1969 Jun 14,1969 Jun 14,D,SRV,,,D,D,RV,,,,,,,U,,,
391,A01614,1969-056,Biosatellite 3 Capsule,1969 Jun 29,1969 Jul  7,1969 Jul  7,1969 Jul  7,,Bios SRV,,,,C,RV,,,,,,,U,,,
392,A01629,1969-059,EASEP,1969 Jul 16,1969 Aug 27,1969 Aug 27,1969 Aug 27,,EASEP,,,,C,SCI,,,,,,,U,,PL/P,"Lunar science, Apollo 11"
393,A01630,1969-059,EASEP LRRR,1969 Jul 16,1969 Jul 21,1969 Jul 21,1969 Jul 21,,EASEP,,,,C,SCI,,,,,,,U,,PL/P,"Lunar science, Apollo 11"
394,A01633,1969-058A,Luna-15 KT,1969 Jul 13,1969 Jul 21,1969 Jul 21,1969 Jul 21,,E-8-5 VA,,,,C,PLAN,,,,,,,F,,PL,Lunar lander probe
395,A01635,1969-059,LM 5 DS,1969 Jul 16,1969 Jul 20,1969 Jul 20,1969 Jul 20 2017,,LM DS,,,M,C,SS,[US],,,,,,U,,,
396,A01646,1969-063,SRV 813,1969 Jul 24,1969 Aug  2,1969 Aug  2,1969 Aug  2,D,SRV,,,D,D,RV,,,,,,,U,,,
397,A01651,1969-063,SRV 814,1969 Jul 24,1969 Aug 12,1969 Aug 12,1969 Aug 12,D,SRV,,,D,D,RV,,,,,,,U,,,
398,A01656,1969-071,Kapsula Kosmosa-293,1969 Aug 16,1969 Aug 28,1969 Aug 28,1969 Aug 28,,Nauka 5KS,,,,C,SCI,,,,,,,S,,,
399,A01659,1969-074,SRV-1,1969 Aug 23,1969 Sep  7,1969 Sep  7,1969 Sep  7,D,SRV,,,D,D,RV,,,,,,,U,,,
400,A01665,1969-074,SRV Mission 4323-2,1969 Aug 23,1969 Sep  7,1969 Sep  7,1969 Sep  7,D,SRV,,,D,D,RV,,,,,,,U,,,
401,A01674,1969-080A,Kosmos-300 VA,1969 Sep 23,1969 Sep 23,1969 Sep 23,1969 Sep 23,,E-8-5 VA,,,,C,PLAN,,,,,,,U,,PL,Lunar lander probe
402,A01679,1969-079,SRV 743R,1969 Sep 22,1969 Sep 29,1969 Sep 29,1969 Sep 29,D,SRV,,,D,D,RV,,,,,,,U,,,
403,A01686,1969-079,SRV 744R,1969 Sep 22,1969 Oct  7,1969 Oct  7,1969 Oct  7,D,SRV,,,D,D,RV,,,,,,,U,,,
404,A01694,1969-092,Cosmos 305,1969 Oct 22,1969 Oct 22?,1969 Oct 22?,1969 Oct 22?,,E-8-5,,,,C,PLAN,SU,A/AC.105/INF.214,,193,205,51.5,U,,PL,"Lunar sample return, failed"
405,A01695,1969-092,VA,1969 Oct 22,1969 Oct 22,1969 Oct 22,1969 Oct 22,,E-8-5 VA,,,,C,PLAN,,,,,,,U,,PL,Lunar return capsule
406,A01702,1969-095,SRV-1,1969 Oct 24,1969 Nov  1,1969 Nov  1,1969 Nov  1,D,SRV,,,D,D,RV,,,,,,,U,,,
407,A01706,1969-095,SRV-2,1969 Oct 24,1969 Nov  8,1969 Nov  8,1969 Nov  8,D,SRV,,,D,D,RV,,,,,,,S,,,
408,A01719,1969-099,ALSEP,1969 Nov 14,1977 Sep 30,1977 Sep 30,1977 Sep 30,,ALSEP,,,,C,SCI,,,,,,,U,,PL,"Lunar science, Apollo 12"
409,A01721,1969-099,LM 6 DS,1969 Nov 17,1969 Nov 19,1969 Nov 19,1969 Nov 19 0654,,LM DS,,,M,C,SS,[US],,,,,,U,,,
410,A01728,1969-105,SRV 817,1969 Dec  4,1969 Dec 11,1969 Dec 11,1969 Dec 11,D,SRV,,,D,D,RV,,,,,,,U,,,
411,A01732,1969-105,SRV 818,1969 Dec  4,1969 Dec 21,1969 Dec 21,1969 Dec 21,D,SRV,,,D,D,RV,,,,,,,U,,,
412,A01739,1970-002,SRV-1,1970 Jan 14,1970 Jan 24,1970 Jan 24,1970 Jan 24,D,SRV,,,D,D,RV,,,,,,,U,,,
413,A01742,1970-002,SRV-2,1970 Jan 14,1970 Feb  1,1970 Nov  1,1970 Nov  1,D,SRV,,,D,D,RV,,,,,,,S,,,
414,A01748,1970-016A,DB-1,1970 Mar  4,1970 Mar,1970 Mar,1970 Mar,,ARPL,,,,D,TECH,,,,,,,S,,,
415,A01753,1970-016,SRV 819,1970 Mar  4,1970 Mar 12,1970 Mar 12,1970 Mar 12,D,SRV,,,D,D,RV,,,,,,,U,,,
416,A01759,1970-016,SRV 820,1970 Mar  4,1970 Mar 23,1970 Mar 23,1970 Mar 23,D,SRV,,,D,D,RV,,,,,,,U,,,
417,A01777,1970-029,Aquarius,1970 Apr 11,1970 Apr 17,1970 Apr 17,1970 Apr 17,,LM AS,,,,C,SS,[US],,,,,,U,,PL,"Lunar geology, failed (Apollo 13)"
