,Cite,Reference
95,Cleary-Cape,"M. Cleary, The Cape - Military Space Operations 1971-1992 (PAFB History Office)."
96,Cleary95,"M. Cleary document, Patrick AFB History Office, 1995"
97,Cleary96,"M. Cleary document, Patrick AFB History Office, 1996"
98,Cleary02,"M. Cleary document, Patrick AFB web site, 2002"
99,Desind,"Desind collection, NASM archives"
100,DNA4620T,"Defense Nuclear Agency, DNA4620T, Proceedings of the STRESS Data Review Meeting, 29-30 Nov 1977, Ed. D.R. McDaniel"
101,EDPE,"Electron Density Profiles in Ionosphere and Exosphere, NATO ASI, 1966. (ed. J Frihagen)."
102,Evstaf'ev99,"Evstaf'ev, 1999"
103,ETR,ETR launch list document
104,ETR-IDX,"ETR index of major launches, Patrick AFB"
105,ETR-IDX-CY77,"ETR index of launches, calendar year 1977"
106,ETR-IDX-CY78,ETR-IDX-CY78
107,ETR-IDX-FY62,ETR-IDX-FY62
108,ETR-IDX-FY63,ETR-IDX-FY63
109,ETR-IDX-FY70,ETR-IDX-FY70
110,ETR-IDX-FY73,ETR-IDX-FY73
111,ETR-IDX-FY75,ETR-IDX-FY75
112,ETR-IDX-FY76,ETR-IDX-FY76
113,ETR-IDX-FY76B,ETR-IDX-FY76B
114,ExpInOrbit,"Explorers In Orbit, ABMA, Huntsville, Alabama, 1959."
115,ASAT-doc1,"DoD document, Talking Paper on ASAT Point in Space Launch, 23 Jan 1984 courtesy of D. Day"
116,F1-RPT,ELDO Blue Streak F1 report
117,F62-RPT,ELDO F6/2 Report
118,F9-RPT,ELDO F9 Report
119,FE,"Fort Eustis files on the V2, NASM Garber"
120,FE/VB158,Document VB158 in Fort Eustis
121,FE/VB159,"Peenemunde archive, Fort Eustis document"
122,FE/VB160,"Peenemunde archive, Fort Eustis document"
123,FE/VB161,"Peenemunde archive, Fort Eustis document"
124,FE/VB162,"Peenemunde archive, Fort Eustis document"
125,FE/VB170,"Peenemunde archive, Fort Eustis document"
126,FE/VB171,"Peenemunde archive, Fort Eustis document"
127,FE/VB172,"Peenemunde archive, Fort Eustis document"
128,FE/VB173,"Peenemunde archive, Fort Eustis document"
129,FE/VB174,"Peenemunde archive, Fort Eustis document"
130,FBM,"FBM Chronology, US Navy Dept., 1982 (via J. Powell)"
131,FDS,Files of Dr. Frederick D. Seward.
132,FE175,"Fort Eustis 175, Captured German Documents, NASM Archive"
