,JCAT,Name
190,A03985,Космос-1465 ЭСО
191,A03986,Космос-1465 ЭСО
192,A03987,Космос-1465 ЭСО
193,A03988,Космос-1465 ЭСО
194,A03989,Космос-1465 ЭСО
195,A03990,Космос-1465 ЭСО
196,A03991,Космос-1465 ЭСО
197,A03992,Космос-1465 ЭСО
198,A03993,Космос-1465 ЭСО
199,A03994,Космос-1465 ЭСО
200,A03995,Космос-1465 ЭСО
201,A03996,Космос-1465 ЭСО
202,A03997,Космос-1465 ЭСО
203,A03998,Космос-1465 ЭСО
204,A03999,Космос-1465 ЭСО
205,A04000,Космос-1465 ЭСО
206,A04001,Космос-1465 ЭСО
207,A04002,Космос-1465 ЭСО
208,A04003,Космос-1465 ЭСО
209,A04017,Спускаемая Капсула
210,A04022,Спускаемая Капсула
211,A04027,Спускаемая Капсула
212,A04055,Спускаемая Капсула
213,A04062,Спускаемая Капсула
214,A04066,Спускаемая Капсула
215,A04087,ГВМ Целина-2
216,A04091,Спускаемая Капсула
217,A04144,Спускаемая Капсула
218,A04147,Спускаемая Капсула
219,A04152,Спускаемая Капсула
220,A04154,НМ74П
221,A04156,Космос-1688 ЭСО
222,A04157,Космос-1688 ЭСО
223,A04158,Космос-1688 ЭСО
224,A04159,Космос-1688 ЭСО
225,A04160,Космос-1688 ЭСО
226,A04161,Космос-1688 ЭСО
227,A04162,Космос-1688 ЭСО
228,A04163,Космос-1688 ЭСО
229,A04164,Космос-1688 ЭСО
230,A04165,Космос-1688 ЭСО
231,A04166,Космос-1688 ЭСО
232,A04167,Космос-1688 ЭСО
233,A04168,Космос-1688 ЭСО
234,A04169,Космос-1688 ЭСО
235,A04170,Космос-1688 ЭСО
236,A04171,Космос-1688 ЭСО
237,A04172,Космос-1688 ЭСО
238,A04173,Космос-1688 ЭСО
239,A04174,Космос-1688 ЭСО
240,A04175,Космос-1688 ЭСО
241,A04176,Космос-1688 ЭСО
242,A04177,Космос-1688 ЭСО
243,A04178,Космос-1688 ЭСО
244,A04179,Космос-1688 ЭСО
245,A04187,Спускаемая Капсула
246,A04212,Спускаемая Капсула
247,A04233,Спускаемая Капсула
248,A04242,Спускаемая Капсула
249,A04255,Спускаемая Капсула
250,A04263,Спускаемая Капсула
251,A04271,Спускаемая Капсула
252,A04274,Спускаемая Капсула
253,A04280,Спускаемая Капсула
254,A04284,Спускаемая Капсула
255,A04286,Спускаемая Капсула
256,A04296,Спускаемая Капсула
257,A04300,Спускаемая Капсула
258,A04306,Спускаемая Капсула
259,A04311,Спускаемая Капсула
260,A04320,Спускаемая Капсула
261,A04326,Спускаемая Капсула
262,A04343,Спускаемая Капсула
263,A04347,Спускаемая Капсула
264,A04349,Спускаемая Капсула
265,A04352,Спускаемая Капсула
266,A04355,Спускаемая Капсула
267,A04356,Космос-1815 ЭСО
268,A04357,Космос-1815 ЭСО
269,A04358,Космос-1815 ЭСО
270,A04359,Космос-1815 ЭСО
271,A04360,Космос-1815 ЭСО
272,A04361,Космос-1815 ЭСО
273,A04362,Космос-1815 ЭСО
274,A04363,Космос-1815 ЭСО
275,A04364,Космос-1815 ЭСО
276,A04365,Космос-1815 ЭСО
277,A04366,Космос-1815 ЭСО
278,A04367,Космос-1815 ЭСО
279,A04368,Космос-1815 ЭСО
280,A04369,Космос-1815 ЭСО
281,A04370,Космос-1815 ЭСО
282,A04371,Космос-1815 ЭСО
283,A04372,Космос-1815 ЭСО
284,A04373,Космос-1815 ЭСО
285,A04374,Космос-1815 ЭСО
286,A04375,Космос-1815 ЭСО
287,A04376,Космос-1815 ЭСО
288,A04377,Космос-1815 ЭСО
289,A04378,Космос-1815 ЭСО
290,A04379,Космос-1815 ЭСО
291,A04389,Спускаемая Капсула
292,A04399,Спускаемая Капсула
293,A04403,Спускаемая Капсула
294,A04409,Спускаемая Капсула
295,A04412,Спускаемая Капсула
296,A04420,Спускаемая Капсула
297,A04424,Спускаемая Капсула
298,A04429,Спускаемая Капсула
299,A04431,Спускаемая Капсула
300,A04458,Спускаемая Капсула
