,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
2437,A02438,NNA,1974-040,C  F,Explorer 52 antenna cap,,1974 Jun  3,S07325,1974 Jun  3 2349,Earth,1974?,R,,LARCN,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,1974 Jun  3,513,,126896,,89.80,,VHEO,,
2438,A02439,NNA,1974-040,C  F,Explorer 52 antenna cap,,1974 Jun  3,S07325,1974 Jun  3 2349,Earth,1974?,R,,LARCN,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,1974 Jun  3,513,,126896,,89.80,,VHEO,,
2439,A02440,NNA,1974-040,C  F,Explorer 52 antenna cap,,1974 Jun  3,S07325,1974 Jun  3 2349,Earth,1974?,R,,LARCN,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,1974 Jun  3,513,,126896,,89.80,,VHEO,,
2440,A02441,NNA,1974-040,C  F,Explorer 52 antenna cap,,1974 Jun  3,S07325,1974 Jun  3 2349,Earth,1974?,R,,LARCN,US,,,,0,,0,,0,,0.0,,0.0,,0.0,,,1974 Jun  3,513,,126896,,89.80,,VHEO,,
2441,A02442,NNA R,1974-041,C  MR,Priborniy otsek,PO,1974 Jun  6,S07328,1974 Jun  6 0405?,Earth,1974 Jun  6 0411?,R,,MOM,SU,TSSKB,Zenit PO,,3200,,2850,,0,,2.5,,2.4,,2.5,,DCone,1974 Jun 18,-178,,218,,64.96,,SO,,
2442,A02443,07330,1974-042A,R3,Agena D,Agena D,1974 Jun  6,R31725,1974 Jun  6 1640?,Earth,1974 Jul 23 0130?,D,,SAMSO,US,LMSC,Agena D,,1250,,1100,,0,,6.3,,1.5,,6.3,,Cyl,1974 Jun  7,136,,393,,110.48,,LLEO/R,,
2443,A02444,NNA T,1974-020,PX-RT--,SRV 1804,SRV Mission 1208-5,1974 Apr 10,S07242,1974 Jun  9 2200?,Earth,1974 Jun  9 2235?,L,POR,NRO/USDMA,US,GERSD,SRV,Star 12A,157,,157,,0,,0.8,,0.7,,0.8,,Cone,1974 Jun  9,151,,280,,94.46,,LLEO/P,,
2444,A02445,NNA R,1974-020,C  MR,Star 12A,Star 12A,1974 Apr 10,A02444,1974 Jun  9 2200?,Earth,1974 Jun  9 2207?,R,POR,NRO,US,THKE,Star 12,,33,,10,,0,,0.3,,0.3,,0.3,,Cyl + Cone,1974 Jun  9,-257,,276,,94.46,,SO,,
2445,A02446,NNA R,1974-038,C  MR,Priborniy otsek,PO,1974 May 30,S07317,1974 Jun 13 0347?,Earth,1974 Jun 13 0351?,R,,MOM,SU,TSSKB,Zenit PO,,3200,,2850,,0,,2.5,,2.4,,2.5,,DCone,1974 Jun 13,-190,,225,,62.79,,SO,,
2446,A02447,NNA,1974-043,C  F,Blenda,Sunshade,1974 Jun 13,S07334,1974 Jun 25?,Earth,1974 Jun 26?,R,,MOM,SU,TSSKB,Zenit BZA,,25,,25,,0,,1.0,,0.4,,1.0,,Box,1974 Jun 26,147,,330,,62.81,,LLEO/I,,
